object_name	pathname	database_file	object_id	status
ProxyBook_kniga	images/gear/books/proxybook_kniga.jpg	database/gear/books/objects.json	dzobj_erekfa38mz	missing_file
MouthRag	images/gear/consumables/mouthrag.jpg	database/gear/consumables/objects.json	dzobj_e8h2ezfx4n	missing_file
LighterZippo	images/gear/cooking/lighterzippo.jpg	database/gear/cooking/objects.json	dzobj_r51cu9zmna	missing_file
TestObject	images/gear/drinks/testobject.jpg	database/gear/drinks/objects.json	dzobj_5b4p287l8g	missing_file
Absolute90s	images/gear/radio/absolute90s.jpg	database/gear/radio/objects.json	dzobj_2ovsiqy8q9	missing_file
CattleProd	images/gear/tools/cattleprod.jpg	database/gear/tools/objects.json	dzobj_vo0r4caz85	missing_file
Aniva Industrial	Aniva Industrial.jpg	database/presets/Aniva Industrial/objects.json	dzobj_nw6rsdwjo8	missing_file
Geothermal	Geothermal.jpg	database/presets/Geothermal/objects.json	dzobj_coc0x2ji2j	missing_file
Ice Sheet Large	Ice Sheet Large.jpg	database/presets/Ice Sheet Large/objects.json	dzobj_1eoaw8lljx	missing_file
Ice Sheet Small	Ice Sheet Small.jpg	database/presets/Ice Sheet Small/objects.json	dzobj_ewc905arkl	missing_file
Kopa Prison Livonia	Kopa Prison Livonia.jpg	database/presets/Kopa Prison Livonia/objects.json	dzobj_xxn6v6znv1	missing_file
Lembork Military Livonia	Lembork Military Livonia.jpg	database/presets/Lembork Military Livonia/objects.json	dzobj_t67fxyyg05	missing_file
Military Dock Sakhal	Military Dock Sakhal.jpg	database/presets/Military Dock Sakhal/objects.json	dzobj_lqkam4sapx	missing_file
EntranceDoor	images/structures_bliss/underground/stairs/entrancedoor.jpg	database/structures_bliss/underground/Stairs/objects.json	dzobj_yw5ou2i5xc	missing_file
terrain_livoniaa_forestpatch.p3d	images/structures_bliss/underground/terrain/terrain_livoniaa_forestpatch.jpg	database/structures_bliss/underground/Terrain/objects.json	dzobj_bu3o9uf52l	missing_file
terrain_livoniaa_grasspatch.p3d	images/structures_bliss/underground/terrain/terrain_livoniaa_grasspatch.jpg	database/structures_bliss/underground/Terrain/objects.json	dzobj_phocrqqpp7	missing_file
