sourceFile,index,id,object,inGameName,category,path,modelType,searchTags
database/data/data/ParticleEffects/Excretion/objects.json,9,dzobj_tvm54rax8d,,-,data,dz/data/data/particleeffects/excretion,Raw P3D,
database/gear/camping/objects.json,44,dzobj_c55au9b8ms,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,46,dzobj_gjkbsnmeux,,Festive Lights,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,60,dzobj_f5g8zk3d91,,Wire Mesh Barrier,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,61,dzobj_5tjwnqkni5,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,62,dzobj_2temo9delh,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,63,dzobj_2m5zh8aapo,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,64,dzobj_0x6gjfulq3,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,65,dzobj_70t34ndks2,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,66,dzobj_7qz1s9pvbx,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,67,dzobj_c4zateoc9n,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,81,dzobj_02kep9nxai,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,88,dzobj_r6j29c42f9,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,89,dzobj_mpd3vfax2z,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,90,dzobj_lf9a3k6mbx,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,91,dzobj_auydio7lb3,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,92,dzobj_5b8o23gs8k,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,97,dzobj_unefq7xgwx,,-,gear,dz/gear/camping,Raw P3D,
database/gear/camping/objects.json,98,dzobj_s2p7syla8y,,-,gear,dz/gear/camping,Raw P3D,
database/gear/consumables/objects.json,52,dzobj_aee85de04p,,9V Battery,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,53,dzobj_w4t2lmtr74,,Chicken Feathers,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,54,dzobj_r3dr6xzyh9,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,58,dzobj_ue018v5lh2,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,66,dzobj_tiri9pjj03,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,68,dzobj_8vdu76sjjj,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,69,dzobj_7cs9ckg9t0,,Medium Gas Canister,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,70,dzobj_vga0f7wskd,,Small Gas Canister,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,77,dzobj_odsn879d06,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,79,dzobj_fybjw1src0,,Nails,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,82,dzobj_4za0y8nuac,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,84,dzobj_erlufrmiyt,,Bear Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,85,dzobj_16j4u8d2vu,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,86,dzobj_q8wv8gc5ny,,Cow Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,87,dzobj_yduqeuvnm0,,Deer Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,88,dzobj_dannpodd9d,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,89,dzobj_7wivkdkdeo,,Fox Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,90,dzobj_dvujyj4wpl,,Goat Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,91,dzobj_2w251xx4w8,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,92,dzobj_8wz2staz2e,,-,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,93,dzobj_0uwvn36w3w,,Pig Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,94,dzobj_ta9jdv88ce,,Hare Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,95,dzobj_kmtsqobat0,,Reindeer Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,96,dzobj_gncyma56ej,,Sheep Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,97,dzobj_9tbypwohw9,,Boar Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,98,dzobj_kvbysppxcm,,Wolf Pelt,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,107,dzobj_pws9v8kvjm,,Sheet Metal,gear,dz/gear/consumables,Raw P3D,
database/gear/consumables/objects.json,108,dzobj_pdxvuijpar,,Plank,gear,dz/gear/consumables,Raw P3D,
database/gear/containers/objects.json,21,dzobj_7dsprn6z5x,,Barrel,gear,dz/gear/containers,Raw P3D,
database/gear/containers/objects.json,22,dzobj_fckeae8zzt,,-,gear,dz/gear/containers,Raw P3D,
database/gear/containers/objects.json,23,dzobj_k800b9l9a0,,Medium Gift Box,gear,dz/gear/containers,Raw P3D,
database/gear/containers/objects.json,24,dzobj_jlb7y8b7hk,,Large Gift Box,gear,dz/gear/containers,Raw P3D,
database/gear/containers/objects.json,26,dzobj_8gb8oap61c,,Minsk refrigerator,gear,dz/gear/containers,Raw P3D,
database/gear/containers/objects.json,27,dzobj_fguvrenvtv,,Protective Case,gear,dz/gear/containers,Raw P3D,
database/gear/containers/objects.json,29,dzobj_w31iodm72n,,Teddy Bear,gear,dz/gear/containers,Raw P3D,
database/gear/containers/objects.json,31,dzobj_8qribjafts,,-,gear,dz/gear/containers,Raw P3D,
database/gear/containers/objects.json,32,dzobj_vmb6lxkrrz,,Drysack,gear,dz/gear/containers,Raw P3D,
database/gear/cooking/objects.json,20,dzobj_eh8zwtqglj,,-,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,28,dzobj_8v07kbnak2,,Gas Stove,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,29,dzobj_pwc0t52xlx,,Gas Lamp,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,30,dzobj_0tvwsmc1l5,,Firewood,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,31,dzobj_bylsilxm79,,-,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,32,dzobj_jjuu3qf59b,,-,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,33,dzobj_0ffw610fs4,,-,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,34,dzobj_h149rurl12,,-,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,35,dzobj_jyukuga8d6,,-,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,39,dzobj_qbz2l2njuo,,-,gear,dz/gear/cooking,Raw P3D,
database/gear/cooking/objects.json,40,dzobj_ddk72mt2he,,-,gear,dz/gear/cooking,Raw P3D,
database/gear/crafting/objects.json,16,dzobj_wyuwxkt216,,-,gear,dz/gear/crafting,Raw P3D,
database/gear/cultivation/objects.json,0,dzobj_0ka6xt4vn0,,Clutter Cutter 3x3,gear,dz/gear/cultivation,Config,
database/gear/cultivation/objects.json,21,dzobj_fvh7ujcblq,,Clutter Cutter 3x3,gear,dz/gear/cultivation,Raw P3D,
database/gear/cultivation/objects.json,23,dzobj_zd28on22mu,,-,gear,dz/gear/cultivation,Raw P3D,
database/gear/cultivation/objects.json,31,dzobj_xgqrvbcad1,,-,gear,dz/gear/cultivation,Raw P3D,
database/gear/cultivation/objects.json,32,dzobj_wnfe6tmw7w,,Potato Plant,gear,dz/gear/cultivation,Raw P3D,
database/gear/cultivation/objects.json,33,dzobj_5lqm3srecp,,Pumpkin Plant,gear,dz/gear/cultivation,Raw P3D,
database/gear/cultivation/objects.json,36,dzobj_ilc2zzl1vv,,-,gear,dz/gear/cultivation,Raw P3D,
database/gear/cultivation/objects.json,37,dzobj_kdf82iwfd4,,Tomato Plant,gear,dz/gear/cultivation,Raw P3D,
database/gear/drinks/objects.json,14,dzobj_36k950qyuj,,-,gear,dz/gear/drinks,Raw P3D,
database/gear/drinks/objects.json,16,dzobj_8f5pjiwboo,,-,gear,dz/gear/drinks,Raw P3D,
database/gear/drinks/objects.json,17,dzobj_9wmhwq3xfw,,Glass Bottle,gear,dz/gear/drinks,Raw P3D,
database/gear/food/objects.json,12,dzobj_z09ow1sip9,,-,gear,dz/gear/food,Config,
database/gear/food/objects.json,13,dzobj_7pj5570a98,,-,gear,dz/gear/food,Config,
database/gear/food/objects.json,15,dzobj_0k2v7n6qpc,,Candy Cane,gear,dz/gear/food,Config,
database/gear/food/objects.json,16,dzobj_usn4cns2sa,,Candy Cane,gear,dz/gear/food,Config,
database/gear/food/objects.json,17,dzobj_414icc85kn,,Candy Cane,gear,dz/gear/food,Config,
database/gear/food/objects.json,18,dzobj_orie9b3hf9,,Candy Cane,gear,dz/gear/food,Config,
database/gear/food/objects.json,118,dzobj_u0x4pjdyzw,,-,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,131,dzobj_dgbulen4y5,,-,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,132,dzobj_78xpl4t5yh,,-,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,133,dzobj_ji9wm3wz64,,-,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,134,dzobj_qtoszyoi34,,-,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,135,dzobj_0zirihb9tk,,-,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,136,dzobj_7dcoeag4hx,,Unknown Food Can,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,137,dzobj_2m9bvgjb3n,,Unknown Food Can,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,138,dzobj_kgvhwefg7s,,-,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,139,dzobj_cu04gukzzz,,Hen,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,140,dzobj_g4p3gm32ji,,Rooster,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,146,dzobj_3j1t1ncl2u,,-,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,152,dzobj_59aeu9frer,,-,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,153,dzobj_6ng7ryv3w9,,Chicken Steak,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,154,dzobj_1whoazsw3x,,Hare Leg,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,155,dzobj_7zsf23f696,,Fox Steak,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,156,dzobj_u7g3jpmsau,,Field Mushroom,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,157,dzobj_p3p38h4y5m,,Fly Amanita,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,158,dzobj_q73uwq2m0e,,Wood Ear,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,159,dzobj_vvia09yv8n,,Penny Bun,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,160,dzobj_kqo410ghdz,,Yellowfoot Mushroom,gear,dz/gear/food,Raw P3D,
database/gear/food/objects.json,161,dzobj_ut672hdwz3,,Red Pine Mushroom,gear,dz/gear/food,Raw P3D,
