file,line,issue,detail
database/characters/headgear/objects.json,2786,missing_image_file,MotoHelmet_White -> images/characters/headgear/motohelmet_white/motohelmet_white.jpg
database/characters/headgear/objects.json,2797,missing_image_file,MotoHelmet_Yellow -> images/characters/headgear/motohelmet_yellow/motohelmet_yellow.jpg
database/characters/headgear/objects.json,2896,missing_image_file,WitchHood_Chainmail_Black -> images/characters/headgear/witchhood_chainmail_black/witchhood_chainmail_black.jpg
database/characters/headgear/objects.json,2907,missing_image_file,WitchHood_Chainmail_Brown -> images/characters/headgear/witchhood_chainmail_brown/witchhood_chainmail_brown.jpg
database/characters/headgear/objects.json,2918,missing_image_file,WitchHood_Chainmail_Red -> images/characters/headgear/witchhood_chainmail_red/witchhood_chainmail_red.jpg
database/characters/masks/objects.json,102,missing_image_file,BalaclavaMask_Green -> images/characters/masks/balaclavamask_green/balaclavamask_green.jpg
database/characters/pants/objects.json,14,missing_image_file,FemaleLegs_Base -> images/characters/pants/femalelegs_base/femalelegs_base.jpg
database/characters/pants/objects.json,146,missing_image_file,TTSKOPants -> images/characters/pants/ttskopants/ttskopants.jpg
database/characters/pants/objects.json,707,missing_image_file,MaleLegsAbove -> images/characters/pants/malelegsabove/malelegsabove.jpg
database/characters/pants/objects.json,718,missing_image_file,FemaleLegsAbove -> images/characters/pants/femalelegsabove/femalelegsabove.jpg
database/characters/pants/objects.json,971,missing_image_file,slacks_g.p3d -> images/characters/pants/slackspants_beige/slackspants_beige.jpg
database/characters/pants/objects.json,993,missing_image_file,ttsko_pants_g.p3d -> images/characters/pants/ttskopants/ttskopants.jpg
database/characters/pants/objects.json,1279,missing_image_file,SlacksPants_Beige -> images/characters/pants/slackspants_beige/slackspants_beige.jpg
database/characters/pants/objects.json,1356,missing_image_file,SlacksPants_White -> images/characters/pants/slackspants_white/slackspants_white.jpg
database/characters/shoes/objects.json,14,missing_image_file,FemaleFeet_Base -> images/characters/shoes/femalefeet_base/femalefeet_base.jpg
database/characters/shoes/objects.json,619,missing_image_file,Ballerinas_Blue -> images/characters/shoes/ballerinas_blue/ballerinas_blue.jpg
database/characters/shoes/objects.json,707,missing_image_file,athleticshoes_m_above0.p3d -> images/characters/shoes/athleticshoes_m_above0.p3d.jpg
database/characters/shoes/objects.json,718,missing_image_file,ballerinas_ground.p3d -> images/characters/shoes/ballerinas_blue/ballerinas_blue.jpg
database/characters/shoes/objects.json,751,missing_image_file,feet_m_above0.p3d -> images/characters/shoes/feet_m_above0.p3d.jpg
database/characters/tops/objects.json,2176,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2187,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2198,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2209,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2220,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2231,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2242,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2253,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2264,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2275,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2286,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2297,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2308,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
database/characters/tops/objects.json,2319,match_to_config_leftover,"""searchTags"": ""[MATCH TO CONFIG], loot, clothing, clothes"","
